,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
10,1420.1,3063.2,2469.5,1352.5,1237.7,934.2,1440.7,1540.1,1682.7,1093.2,0.0,2001.8,55.6,1966.5,1092.5,880.5,1137.3,3214.4,3057.5,906.9,2766.4,1690.4,3039.2,259.6,53.3,1750.1,1515.9,2318.3,1207.3,2775.9,1690.4,1463.0,1328.1,1456.2,3061.4,2457.8,1652.7,2477.3,2614.2,1706.5,2646.6,1270.2,1280.3,2947.5,1567.1,2164.3,2631.6,1771.2,1702.6,2314.4,1819.3,1199.2,1589.6,1525.2,2297.2,2413.7,2261.4,2542.6,2912.0,1356.5,1930.3,1118.7,2468.7,3024.1,1242.9,1407.2,1620.8,1421.7,1715.1,1975.6,1496.5,890.7,2140.1,2304.6,39.8,2366.3,1750.9,1456.2,561.8,2706.7,2359.8,2014.4,2386.9,1701.6,2467.7,1435.7
11,2580.0,4954.5,1501.0,1165.0,969.7,2639.5,1810.2,2196.6,3602.4,1018.0,2021.4,0.0,1969.5,3404.5,1089.5,2792.2,930.2,2197.0,4948.8,2818.6,4204.4,2346.9,4477.2,1817.6,1979.4,703.0,2764.6,4209.6,2341.8,4213.9,2346.9,3073.8,1249.6,2313.7,4954.4,1617.5,1551.7,3915.3,643.3,3144.5,1943.9,1028.2,2694.9,2241.4,2373.7,2961.1,1218.2,2427.7,537.7,3752.4,2544.7,2810.9,1504.2,2735.2,3735.2,3649.9,1686.3,2024.6,2291.0,2711.8,3821.6,1043.5,2058.1,4915.4,2848.1,2567.1,2377.5,1791.2,1409.5,3887.3,2153.0,2596.0,3320.5,3388.9,2035.3,3804.3,1759.7,2313.7,2370.8,4138.0,2188.1,2693.4,2869.1,1600.6,3905.7,2574.1
12,1364.5,3083.5,2413.9,1296.9,1182.1,878.6,1385.1,1484.5,1711.0,1037.6,51.9,1946.2,0.0,1910.9,1036.9,900.8,1081.7,3158.8,3077.8,927.2,2710.8,1634.8,2983.6,204.0,9.9,1694.5,1460.3,2338.6,1151.7,2720.3,1634.8,1435.4,1272.5,1400.6,3081.7,2402.2,1597.1,2421.7,2558.6,1650.9,2591.0,1214.6,1224.7,2891.9,1511.5,2108.7,2576.0,1715.6,1647.0,2258.8,1763.7,1143.6,1534.0,1469.6,2241.6,2358.1,2205.8,2487.0,2856.4,1300.9,1950.6,1063.1,2413.1,3044.4,1187.3,1351.6,1565.2,1366.1,1659.5,1995.9,1440.9,835.1,2084.5,2249.0,91.7,2310.7,1695.3,1400.6,506.2,2651.1,2304.2,1958.8,2331.3,1646.0,2412.1,1380.1
13,1074.0,1695.3,2909.1,2835.9,2602.4,1078.5,1803.2,1434.0,1850.9,2558.0,1938.1,3446.6,1914.1,0.0,2607.3,1344.3,2889.1,3417.3,1780.2,1336.2,920.6,1243.2,1200.9,1965.1,1924.0,3473.2,753.7,1465.1,1239.0,937.6,1243.2,962.0,2203.9,1628.2,1827.8,2683.7,2391.9,631.5,3809.5,374.4,2818.6,2634.9,910.0,3119.5,1541.3,1425.8,3685.1,1356.1,3454.4,476.1,1584.6,885.1,3366.3,939.9,458.9,797.3,2433.4,2714.6,3084.0,984.8,1149.5,2583.5,2640.7,1788.8,949.2,1061.1,1792.8,1785.3,2643.1,1979.2,1437.3,1092.9,1401.6,1461.1,1947.2,528.0,2275.8,1628.2,1541.6,860.9,2531.8,2186.4,2558.9,2560.5,621.9,1062.4
14,1718.5,4012.6,1466.3,349.3,234.5,1778.0,948.7,1335.1,2640.1,90.0,1063.9,1078.7,1039.9,2543.0,0.0,1829.9,765.7,2211.2,4006.9,1856.3,3342.9,1485.4,3615.7,852.5,1049.8,1105.3,1903.1,3267.7,1480.3,3352.4,1485.4,2212.3,388.1,1452.2,4010.8,1454.6,690.2,3053.8,1680.8,2283.0,1781.0,267.0,1833.4,2081.9,1512.2,2099.6,1628.4,1566.2,1167.3,2890.9,1683.2,1949.4,1310.7,1873.7,2873.7,2788.4,1559.5,1897.8,2182.5,1850.3,2879.7,115.5,1931.3,3973.5,1986.6,1705.6,1516.0,929.7,752.6,2925.0,1291.5,1734.5,2459.0,2527.4,1073.0,2942.8,898.2,1452.2,1405.7,3276.5,2061.3,2049.8,2422.3,739.1,3044.2,1712.6
15,1366.3,2182.7,3145.1,2147.4,2032.6,893.0,2059.9,1884.0,966.5,1888.1,916.1,2826.4,965.6,1257.2,1887.4,0.0,1961.9,3653.3,2177.0,26.4,2121.2,1751.2,2359.2,1054.5,969.4,2574.7,1261.7,1437.8,1551.2,1971.8,1751.2,582.5,1947.3,1864.2,2180.9,2919.7,2271.9,1832.1,3438.8,1293.9,3054.6,2065.1,1083.4,3355.5,1975.1,1967.4,3426.5,1864.1,2527.2,1563.7,2092.6,1026.4,2417.8,1381.6,1646.6,1997.9,2669.4,2950.6,3320.0,1183.7,1049.8,1913.6,2876.7,2143.6,1090.5,1353.4,2028.8,2040.9,2334.3,1095.1,1840.4,923.8,1943.2,2107.7,883.4,1728.6,2370.1,1864.2,1005.6,2061.5,2767.8,2422.4,2794.9,2320.8,1822.5,1354.7
16,2311.2,4057.0,2076.6,381.2,844.8,1825.3,1573.3,1959.7,2684.5,700.3,1103.5,929.9,1051.6,2857.6,726.7,1874.3,0.0,2821.5,4051.3,1900.7,3657.5,2110.0,3930.3,899.7,1061.5,678.2,2407.0,3312.1,2098.4,3667.0,2110.0,2382.1,1012.7,2076.8,4055.2,2064.9,1314.8,3368.4,1542.3,2597.6,2391.3,877.3,2171.4,2692.2,2136.8,2724.2,2094.5,2190.8,630.7,3205.5,2307.8,2090.3,610.4,2416.3,3188.3,3304.8,2169.8,2508.1,2792.8,2247.6,2924.1,725.8,2541.6,4017.9,2134.0,2298.3,2140.6,1554.3,1377.2,2969.4,1916.1,1781.8,3031.2,3152.0,1117.4,3257.4,1522.8,2076.8,1452.9,3597.8,2671.6,2674.4,3046.9,1363.7,3358.8,2326.8
17,2619.9,4938.8,903.6,2472.7,2124.3,2989.8,2104.5,2252.4,4225.0,2172.6,3159.5,2207.8,3135.5,3414.5,2244.1,3585.0,2889.1,0.0,4958.8,3611.4,3824.4,2402.7,4487.2,3000.8,3145.4,2811.6,2754.4,4219.6,2407.1,4181.1,2402.7,3113.7,2274.9,2154.4,4964.4,1128.5,2073.9,3778.8,2024.1,3154.5,708.8,2182.8,2734.8,610.2,2367.1,2921.6,1836.0,2483.5,2738.0,3762.4,2561.1,2850.8,3434.1,2725.0,3745.2,3639.7,1114.3,1436.2,363.4,2751.7,3831.6,2198.1,1469.7,4925.4,2888.0,2607.0,1832.1,2111.3,1936.6,4353.3,2208.8,3004.2,3160.0,2965.4,3168.6,3814.3,2113.6,2154.4,2866.4,3740.7,1510.2,1963.7,2164.9,1979.1,3817.1,2635.5
18,2642.9,168.0,4478.0,4265.0,4150.2,2582.4,3372.1,3002.9,1860.1,4005.7,3033.7,4944.0,3083.2,1775.4,4005.0,2210.6,4079.5,4986.2,0.0,2202.5,1758.8,2812.1,1064.1,3172.1,3087.0,4692.3,2322.6,738.9,2807.9,977.9,2812.1,2254.7,3772.8,3197.1,116.9,4252.6,3960.8,1524.4,5378.4,2048.8,4387.5,4182.7,2446.0,4688.4,3110.2,2672.3,5254.0,2925.0,4644.8,1642.6,3153.5,2389.0,4535.4,2508.8,1543.2,1921.2,4002.3,3895.5,4652.9,2546.3,1127.3,4031.2,3765.6,77.9,2453.1,2630.0,3361.7,3354.2,4212.0,1403.4,3006.2,2596.8,2408.6,2299.3,3001.0,1267.2,3844.7,3197.1,3045.5,1699.1,3656.7,3311.3,3579.4,4129.4,1514.8,2631.3
19,1339.9,2156.3,3161.1,2163.4,2048.6,909.0,2075.9,1857.6,940.4,1904.1,932.1,2842.4,981.6,1230.8,1903.4,109.0,1977.9,3669.3,2150.6,0.0,2094.8,1724.8,2332.8,1070.5,985.4,2590.7,1235.3,1411.4,1524.8,1945.4,1724.8,556.1,1963.3,1880.2,2154.5,2935.7,2287.9,1805.7,3454.8,1267.5,3070.6,2081.1,1057.0,3371.5,1991.1,1941.0,3442.5,1837.7,2543.2,1537.3,2066.2,1000.0,2433.8,1355.2,1620.2,1971.5,2685.4,2966.6,3336.0,1157.3,1023.4,1929.6,2892.7,2117.2,1064.1,1327.0,2044.8,2056.9,2350.3,1068.7,1814.0,939.8,1916.8,2081.3,899.4,1702.2,2386.1,1880.2,1021.6,2035.1,2783.8,2438.4,2810.9,2336.8,1796.1,1328.3
20,1802.2,1635.3,3408.8,3564.1,3330.6,1806.7,2525.2,2162.2,2584.6,3286.2,2666.3,4174.8,2642.3,832.8,3335.5,2078.0,3617.3,3819.6,1720.2,2069.9,0.0,1971.4,1242.8,2693.3,2652.2,4201.4,1481.9,1577.3,1967.2,877.6,1971.4,1690.2,2932.1,2284.0,1767.8,3198.3,3120.1,227.5,4370.2,1102.6,3340.0,3363.1,1638.2,3640.9,2177.2,1406.7,4268.3,1945.5,4182.6,1014.6,1926.3,1613.3,4094.5,1668.1,915.2,554.3,2933.1,2629.9,3466.4,1713.0,1723.1,3311.7,2500.0,1728.8,1677.4,1789.3,2273.8,2507.3,3371.3,2257.4,2165.5,1821.1,1143.0,1033.7,2675.4,671.8,2997.8,2284.0,2269.8,332.2,2391.1,2045.7,2313.8,3245.2,413.0,1790.6
21,911.8,2819.6,1940.2,1762.2,1528.7,1072.7,650.6,224.8,2286.6,1484.3,1642.8,2372.9,1618.8,1269.6,1533.6,1780.0,2178.6,2448.4,2813.9,1771.9,1955.9,0.0,2342.3,1669.8,1628.7,2399.5,609.5,2074.7,574.1,2079.0,0.0,1175.3,1130.2,508.3,2819.5,1714.8,1318.2,1780.4,2840.6,1009.6,1849.7,1561.2,771.8,2150.6,332.1,680.3,2716.2,146.9,2461.5,1617.5,375.4,933.7,2723.6,564.0,1600.3,1453.9,1464.5,1745.7,2115.1,846.6,1686.7,1509.8,1698.4,2780.5,972.5,898.9,811.6,632.7,1569.4,2414.9,228.1,1087.1,1039.7,1188.7,1651.9,1669.4,1123.2,508.3,1349.7,1872.2,1589.5,1244.1,1616.6,1498.4,1770.8,924.2
